Entity,Type,Source_URL
Harvey Weinstein,PERSON,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
October 2017,DATE,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
The New York Times,ORG,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
The New Yorker,ORG,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
at least 30 years,DATE,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
Weinstein,PERSON,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
the Weinstein Company,ORG,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
TWC,ORG,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
the Academy of Motion Picture Arts and Sciences,ORG,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
Los Angeles,GPE,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
New York City,GPE,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
London,GPE,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
May 2018,DATE,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
New York,GPE,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
2020,DATE,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
23 years,DATE,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
2024,DATE,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
2025,DATE,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
16 more years,DATE,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
Bob Weinstein,PERSON,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
Miramax,ORG,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
1979,DATE,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
The Weinstein Company,ORG,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
March 2005.[12,DATE,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
Harvey Weinstein's,PERSON,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
Hollywood,GPE,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
years,DATE,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
As early as 1998,DATE,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
Gwyneth Paltrow,PERSON,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
2005,DATE,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
Courtney Love,PERSON,https://en.wikipedia.org/wiki/Harvey_Weinstein_sexual_abuse_cases
